iter	Logloss
0	0.5922213422
1	0.5180810012
2	0.4673723115
3	0.429481424
4	0.4044256802
5	0.3863862331
6	0.3708436503
7	0.3600696226
8	0.3515108661
9	0.3449680094
10	0.3399939089
11	0.3356724598
12	0.3325207236
13	0.3296355995
14	0.3271630569
15	0.325317218
16	0.323849188
17	0.3225663273
18	0.3210466602
19	0.3195923525
20	0.3182268128
21	0.3168759333
22	0.3160904678
23	0.3151855213
24	0.3143859965
25	0.3138205666
26	0.3127850976
27	0.3121393413
28	0.3114875268
29	0.3109014589
30	0.3103003343
31	0.3095644672
32	0.3090328535
33	0.3085156242
34	0.3079850614
35	0.3075802935
36	0.3070396212
37	0.3066527477
38	0.3061548906
39	0.3058892985
40	0.3054576694
41	0.3051212751
42	0.3048746052
43	0.3045375464
44	0.3041693762
45	0.3038727604
46	0.3035255084
47	0.3032350225
48	0.3028552745
49	0.3025658083
50	0.3023571308
51	0.3021182957
52	0.3018502719
53	0.3015876922
54	0.3013181106
55	0.3009871816
56	0.3007039728
57	0.3005562864
58	0.3003462506
59	0.299960303
60	0.2997767948
61	0.2996344897
62	0.299357566
63	0.2991947276
64	0.2988734675
65	0.2985950412
66	0.2983787713
67	0.2982124594
68	0.2980003603
69	0.2978449051
70	0.2975998866
71	0.2973240189
72	0.2971234197
73	0.29695606
74	0.296843322
75	0.296692923
76	0.2965352787
77	0.2963787152
78	0.2961518543
79	0.2960040606
80	0.2957156013
81	0.2955636802
82	0.295403888
83	0.2952815216
84	0.2950553867
85	0.2949279022
86	0.2947666239
87	0.2946737634
88	0.2945482002
89	0.2944233244
90	0.2942921
91	0.2941427453
92	0.2940154895
93	0.2938519264
94	0.293743248
95	0.2935672932
96	0.2934207845
97	0.2932814632
98	0.2931704748
99	0.2930208676
100	0.2929002555
101	0.2927357967
102	0.2926320687
103	0.2924756218
104	0.292350443
105	0.2922032668
106	0.2920635454
107	0.2919491554
108	0.2917861054
109	0.2916300911
110	0.291494326
111	0.2913837038
112	0.2912319936
113	0.2910643491
114	0.2909536783
115	0.2908373531
116	0.2907126868
117	0.2905926041
118	0.2904561081
119	0.2903167758
120	0.2901558568
121	0.2900441032
122	0.2899569335
123	0.2898558933
124	0.2897443916
125	0.2895509789
126	0.2894683171
127	0.289363056
128	0.2892626962
129	0.2891559801
130	0.2890623882
131	0.2889506014
132	0.2888556024
133	0.2887761413
134	0.2886689838
135	0.2885552473
136	0.2883946856
137	0.2883268395
138	0.2882253846
139	0.2881264376
140	0.2880003146
141	0.287841754
142	0.2877732083
143	0.2877091663
144	0.2875826983
145	0.2874875208
146	0.2873959257
147	0.2872569361
148	0.2871554609
149	0.2870616651
150	0.2869697418
151	0.2868856837
152	0.2867934033
153	0.2867279341
154	0.2866481715
155	0.2865554146
156	0.2864805975
157	0.2863799801
158	0.2863090582
159	0.2862206758
160	0.2861504511
161	0.2860654309
162	0.2859792985
163	0.285907288
164	0.2858289743
165	0.2857334348
166	0.2856549301
167	0.285410066
168	0.285303744
169	0.2852341926
170	0.2851012338
171	0.285039227
172	0.2849673088
173	0.2848888965
174	0.2847879807
175	0.28471126
176	0.2846615925
177	0.2846020814
178	0.2845446078
179	0.2844680444
180	0.2844169189
181	0.2843404437
182	0.2842873762
183	0.2842009019
184	0.2841118673
185	0.2840284757
186	0.2838854535
187	0.2838030652
188	0.2837461032
189	0.283672756
190	0.2835373196
191	0.28343807
192	0.2833577874
193	0.2832897495
194	0.2832301099
195	0.283159548
196	0.2830718544
197	0.2830043192
198	0.2829263581
199	0.2828497391
200	0.2827879498
201	0.2827338366
202	0.2826717666
203	0.2825571876
204	0.2825065686
205	0.2824505334
206	0.2824040067
207	0.28235278
208	0.2823141673
209	0.2822232284
210	0.2821731199
211	0.2821196491
212	0.2820735215
213	0.2820272193
214	0.2819733423
215	0.281919653
216	0.2818505228
217	0.2817912599
218	0.2817397226
219	0.2816765829
220	0.2816235929
221	0.281571126
222	0.2815029805
223	0.2814050687
224	0.281349668
225	0.2812757976
226	0.2812370072
227	0.2811903527
228	0.2811346388
229	0.2810774844
230	0.2810456553
231	0.2809856037
232	0.2808949683
233	0.2808614665
234	0.280819524
235	0.2807070449
236	0.2806508829
237	0.2805988125
238	0.2805585121
239	0.2805224941
240	0.2804665559
241	0.2804284324
242	0.2803816099
243	0.280304648
244	0.2802490229
245	0.2801906966
246	0.2801526028
247	0.2800909222
248	0.2800183094
249	0.2799727207
250	0.279910985
251	0.2798615083
252	0.2798215003
