iter	Passed	Remaining
0	311	310759
1	627	313332
2	934	310521
3	1248	310763
4	1472	292985
5	1695	280865
6	1963	278523
7	2269	281387
8	2559	281791
9	2780	275311
10	3044	273698
11	3336	274684
12	3597	273133
13	3928	276651
14	4295	282042
15	4553	280029
16	4785	276688
17	5007	273202
18	5313	274361
19	5584	273637
20	5933	276622
21	6269	278693
22	6567	278994
23	6855	278797
24	7200	280816
25	7425	278177
26	7737	278830
27	8083	280620
28	8418	281878
29	8713	281725
30	9047	282813
31	9359	283116
32	9718	284788
33	10057	285742
34	10403	286834
35	10708	286749
36	11010	286581
37	11285	285701
38	11637	286766
39	11866	284806
40	12141	283996
41	12459	284197
42	12709	282857
43	13013	282742
44	13374	283834
45	13653	283169
46	13959	283059
47	14297	283563
48	14558	282545
49	14810	281408
50	15107	281113
51	15409	280925
52	15677	280130
53	15961	279616
54	16305	280158
55	16625	280266
56	16871	279114
57	17080	277407
58	17394	277421
59	17714	277519
60	17962	276499
61	18231	275829
62	18519	275447
63	18741	274090
64	19114	274958
65	19484	275736
66	19774	275366
67	20008	274227
68	20357	274678
69	20608	273795
70	20930	273862
71	21262	274053
72	21596	274252
73	21947	274643
74	22178	273532
75	22443	272871
76	22718	272325
77	22987	271725
78	23303	271680
79	23607	271491
80	23891	271061
81	24241	271391
82	24522	270934
83	24828	270752
84	25170	270949
85	25430	270274
86	25711	269820
87	25928	268708
88	26185	268038
89	26498	267926
90	26737	267081
91	26952	266013
92	27242	265686
93	27504	265100
94	27755	264403
95	28121	264815
96	28430	264669
97	28678	263955
98	28934	263330
99	29238	263142
100	29491	262507
101	29758	261990
102	30018	261426
103	30381	261750
104	30648	261239
105	30980	261285
106	31197	260371
107	31476	259973
108	31767	259676
109	32069	259473
110	32353	259119
111	32587	258374
112	32942	258580
113	33239	258332
114	33495	257771
115	33770	257355
116	34045	256940
117	34354	256787
118	34625	256345
119	34933	256175
120	35199	255704
121	35489	255409
122	35803	255281
123	36061	254754
124	36317	254220
125	36632	254104
126	36856	253349
127	37170	253226
128	37451	252870
129	37690	252235
130	38018	252196
131	38230	251395
132	38530	251172
133	38750	250431
134	39067	250318
135	39413	250391
136	39766	250498
137	40003	249878
138	40230	249199
139	40514	248877
140	40832	248756
141	41120	248458
142	41354	247839
143	41609	247345
144	42024	247801
145	42308	247476
146	42580	247084
147	42909	247018
148	43165	246533
149	43459	246269
150	43727	245857
151	44051	245763
152	44338	245455
153	44626	245157
154	44898	244767
155	45176	244414
156	45429	243930
157	45703	243560
158	45940	242995
159	46230	242711
160	46463	242131
161	46767	241920
162	47096	241838
163	47338	241312
164	47649	241136
165	47975	241031
166	48271	240778
167	48565	240513
168	48824	240078
169	49077	239613
170	49437	239668
171	49668	239103
172	49945	238756
173	50176	238194
174	50589	238493
175	50855	238096
176	51070	237463
177	51298	236893
178	51532	236358
179	51788	235923
180	52053	235536
181	52315	235134
182	52545	234587
183	52822	234258
184	53116	234000
185	53350	233479
186	53575	232923
187	53917	232879
188	54169	232441
189	54477	232244
190	54887	232481
191	55296	232704
192	55612	232534
193	55888	232194
194	56117	231662
195	56409	231393
196	56713	231171
197	57033	231015
198	57331	230766
199	57605	230422
200	57968	230433
201	58247	230105
202	58553	229885
203	58886	229772
204	59106	229218
205	59359	228793
206	59594	228301
207	59870	227968
208	60085	227405
209	60408	227250
210	60632	226726
211	60881	226295
212	61091	225724
213	61314	225202
214	61554	224744
215	61815	224366
216	62054	223909
217	62345	223641
218	62577	223162
219	62903	223020
220	63185	222721
221	63476	222455
222	63731	222060
223	64069	221954
224	64337	221606
225	64594	221220
226	64847	220823
227	65071	220329
228	65300	219855
229	65652	219793
230	65860	219250
231	66110	218849
232	66408	218607
233	66619	218078
234	66847	217609
235	67239	217672
236	67540	217439
237	67772	216986
238	67990	216489
239	68231	216066
240	68555	215907
241	68796	215486
242	69038	215072
243	69368	214927
244	69627	214567
245	69902	214255
246	70141	213830
247	70393	213450
248	70653	213094
249	70932	212797
250	71263	212656
251	71500	212232
252	71734	211801
253	72009	211491
254	72234	211038
255	72445	210545
256	72702	210187
257	72934	209757
258	73157	209303
259	73427	208986
260	73743	208799
261	73976	208377
262	74190	207903
263	74412	207453
264	74653	207058
265	74986	206916
266	75213	206484
267	75436	206042
268	75677	205652
269	75997	205473
270	76327	205324
271	76710	205312
272	76899	204782
273	77137	204387
274	77447	204178
275	77674	203754
276	77889	203301
277	78162	202997
278	78450	202732
279	78745	202487
280	79099	202393
281	79339	202006
282	79571	201600
283	79827	201256
284	80090	200927
285	80340	200570
286	80574	200171
287	80829	199827
288	81106	199539
289	81328	199114
290	81586	198779
291	81819	198384
292	82076	198048
293	82308	197653
294	82602	197405
295	82881	197124
296	83068	196622
297	83287	196200
298	83556	195896
299	83763	195448
300	84060	195211
301	84336	194923
302	84546	194483
303	84798	194144
